,NAME,SCK YDS,SCK YDS_rank
132,Shaquill Griffin,0.0,159.0
22,Jessie Bates III,0.0,159.0
131,Joe Haden,0.0,159.0
126,Jalen Ramsey,0.0,159.0
124,Prince Amukamara,0.0,159.0
59,Reggie Ragland,0.0,159.0
122,Tre Flowers,0.0,159.0
60,TJ McDonald,0.0,159.0
120,Byron Jones,0.0,159.0
119,Darqueze Dennard,0.0,159.0
61,Jeff Heath,0.0,159.0
117,Steven Nelson,0.0,159.0
17,John Johnson,0.0,159.0
129,Josh Norman,0.0,159.0
27,Zach Cunningham,0.0,159.0
